artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links,align_file,type,label
Sviatoslav Richter,4,"Piano Sonata No.8 in A minor, K.310: 3. Presto",220.0,Wolfgang Amadeus Mozart,0,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/Sonata_No._8_3rd_Movement_K._310.mxl","Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/05671.mid",https://www.youtube.com/watch?v=1pBPE51sR9E,"train/Sviatoslav Richter/Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/0_infer_corresp.txt",train,138
Claudio Arrau,1,"Piano Sonata No.8 in A minor, K.310: 3. Presto",189.773,Wolfgang Amadeus Mozart,0,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/Sonata_No._8_3rd_Movement_K._310.mxl","Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/05681.mid",https://www.youtube.com/watch?v=pe0MCk1wd3Q,"train/Claudio Arrau/Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/11_infer_corresp.txt",train,36
Alfred Brendel,0,"Piano Sonata No. 8 in A Minor, K. 310: 3. Presto",198.88,Wolfgang Amadeus Mozart,0,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/Sonata_No._8_3rd_Movement_K._310.mxl","Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/05689.mid",https://www.youtube.com/watch?v=71TipfLio28,"train/Alfred Brendel/Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/21_infer_corresp.txt",train,0
Friedrich Gulda,3,"Piano Sonata No. 8 in A minor, K.310: 3. Presto",190.88,Wolfgang Amadeus Mozart,0,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/Sonata_No._8_3rd_Movement_K._310.mxl","Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/05692.mid",https://www.youtube.com/watch?v=VUIsSPmpeNE,"train/Friedrich Gulda/Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/25_infer_corresp.txt",train,102
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: III. Menuetto: Allegro",173.56,Ludwig van Beethoven,1,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05814.mid",https://www.youtube.com/watch?v=ZxeTWE1NCaA,"train/Sviatoslav Richter/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/3_infer_corresp.txt",train,139
Daniel Barenboim,2,"Piano Sonata No. 7 In D Major, Op. 10, No. 3: 3. Menuetto (Allegro)",172.13299999999995,Ludwig van Beethoven,1,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05825.mid",https://www.youtube.com/watch?v=BalJo_TYEyw,"train/Daniel Barenboim/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/18_infer_corresp.txt",train,72
Claudio Arrau,1,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",187.0,Ludwig van Beethoven,1,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05829.mid",https://www.youtube.com/watch?v=CSiejmkUJqA,"train/Claudio Arrau/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/23_infer_corresp.txt",train,37
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",167.16,Ludwig van Beethoven,1,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05835.mid",https://www.youtube.com/watch?v=GedShIibrNo,"train/Alfred Brendel/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/32_infer_corresp.txt",train,1
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",179.44,Ludwig van Beethoven,1,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05840.mid",https://www.youtube.com/watch?v=2I8BhINS28Y,"train/Friedrich Gulda/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/37_infer_corresp.txt",train,103
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",166.0,Ludwig van Beethoven,1,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05841.mid",https://www.youtube.com/watch?v=dwKrrqVnEAc,"train/Wilhelm Kempff/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/39_infer_corresp.txt",train,174
