opus,key,performer,year,time,seconds,label,pid,status,piece_path,midi_filename,mp4_filename,mp3_filename,wav_filename,alignment_filename,performer_id
6.1,F# min,Ashkenazy,1981,3:14,194,Decca 448 086-2,9058-01,-,mazurka06-1/pid9058-01,mazurka06-1/pid9058-01.mid,mazurka06-1/pid9058-01.mp4,mazurka06-1/pid9058-01.mp3,mazurka06-1/pid9058-01.wav,mazurka06-1/pid9058-01_infer_corresp.txt,0
6.1,F# min,Bacha,1997,2:46,166,Forlane 126817,9166c-03,-,mazurka06-1/pid9166c-03,mazurka06-1/pid9166c-03.mid,mazurka06-1/pid9166c-03.mp4,mazurka06-1/pid9166c-03.mp3,mazurka06-1/pid9166c-03.wav,mazurka06-1/pid9166c-03_infer_corresp.txt,1
6.1,F# min,Barbosa,1983,2:30,150,Centaur CRC2098/9,9174-01,-,mazurka06-1/pid9174-01,mazurka06-1/pid9174-01.mid,mazurka06-1/pid9174-01.mp4,mazurka06-1/pid9174-01.mp3,mazurka06-1/pid9174-01.wav,mazurka06-1/pid9174-01_infer_corresp.txt,2
6.1,F# min,Biret,1990,3:29,209,Naxos 8.550359,9062-01,-,mazurka06-1/pid9062-01,mazurka06-1/pid9062-01.mid,mazurka06-1/pid9062-01.mp4,mazurka06-1/pid9062-01.mp3,mazurka06-1/pid9062-01.wav,mazurka06-1/pid9062-01_infer_corresp.txt,3
6.1,F# min,Brailowsky,1960,3:21,201,Sony SB2K 63237,9060-01,-,mazurka06-1/pid9060-01,mazurka06-1/pid9060-01.mid,mazurka06-1/pid9060-01.mp4,mazurka06-1/pid9060-01.mp3,mazurka06-1/pid9060-01.wav,mazurka06-1/pid9060-01_infer_corresp.txt,4
6.1,F# min,Chiu,1999,3:23,203,HMX 2907352.53,9048-01,-,mazurka06-1/pid9048-01,mazurka06-1/pid9048-01.mid,mazurka06-1/pid9048-01.mp4,mazurka06-1/pid9048-01.mp3,mazurka06-1/pid9048-01.wav,mazurka06-1/pid9048-01_infer_corresp.txt,5
6.1,F# min,Cohen,1997,4:04,244,Glossa 920506 ,9105-01,-,mazurka06-1/pid9105-01,mazurka06-1/pid9105-01.mid,mazurka06-1/pid9105-01.mp4,mazurka06-1/pid9105-01.mp3,mazurka06-1/pid9105-01.wav,mazurka06-1/pid9105-01_infer_corresp.txt,6
6.1,F# min,Cortot,1951,3:15,195,Concert Artist 9180/12 ,9066-01,-,mazurka06-1/pid9066-01,mazurka06-1/pid9066-01.mid,mazurka06-1/pid9066-01.mp4,mazurka06-1/pid9066-01.mp3,mazurka06-1/pid9066-01.wav,mazurka06-1/pid9066-01_infer_corresp.txt,7
6.1,F# min,Csalog,1996,3:16,196,Hungaroton HCD 31755/6,1263-01,-,mazurka06-1/pid1263-01,mazurka06-1/pid1263-01.mid,mazurka06-1/pid1263-01.mp4,mazurka06-1/pid1263-01.mp3,mazurka06-1/pid1263-01.wav,mazurka06-1/pid1263-01_infer_corresp.txt,8
6.1,F# min,Czerny-Stefanska,1989,3:19,199,Pony Canyon Classics PCCL-00460,9192-01,-,mazurka06-1/pid9192-01,mazurka06-1/pid9192-01.mid,mazurka06-1/pid9192-01.mp4,mazurka06-1/pid9192-01.mp3,mazurka06-1/pid9192-01.wav,mazurka06-1/pid9192-01_infer_corresp.txt,9
6.1,F# min,Ezaki,2006,3:18,198,Triton OVCT-00035,9139-01,-,mazurka06-1/pid9139-01,mazurka06-1/pid9139-01.mid,mazurka06-1/pid9139-01.mp4,mazurka06-1/pid9139-01.mp3,mazurka06-1/pid9139-01.wav,mazurka06-1/pid9139-01_infer_corresp.txt,10
6.1,F# min,Fliere,1977,3:05,185,Melodia 10 00439,9063-01,-,mazurka06-1/pid9063-01,mazurka06-1/pid9063-01.mid,mazurka06-1/pid9063-01.mp4,mazurka06-1/pid9063-01.mp3,mazurka06-1/pid9063-01.wav,mazurka06-1/pid9063-01_infer_corresp.txt,11
6.1,F# min,Fou,1978,2:53,173,Sony SB2K 53 246,9071-06,-,mazurka06-1/pid9071-06,mazurka06-1/pid9071-06.mid,mazurka06-1/pid9071-06.mp4,mazurka06-1/pid9071-06.mp3,mazurka06-1/pid9071-06.wav,mazurka06-1/pid9071-06_infer_corresp.txt,12
6.1,F# min,Francois,1956,1:32,92,EMI CZS 7 67413 2,9070-09,-,mazurka06-1/pid9070-09,mazurka06-1/pid9070-09.mid,mazurka06-1/pid9070-09.mp4,mazurka06-1/pid9070-09.mp3,mazurka06-1/pid9070-09.wav,mazurka06-1/pid9070-09_infer_corresp.txt,13
